"filename", "language", "JSON", "LaTeX", "Dotenv", "Properties", "Batch", "XML", "log", "YAML", "pip requirements", "Python", "Docker", "comment", "blank", "total"
"c:\Users\Mircea\AndroidStudioProjects\Axon\.github\workflows\cd.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 11, 17, 139
"c:\Users\Mircea\AndroidStudioProjects\Axon\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 8, 13, 77
"c:\Users\Mircea\AndroidStudioProjects\Axon\.idea\AndroidProjectSystem.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Mircea\AndroidStudioProjects\Axon\.idea\appInsightsSettings.xml", "XML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 27
"c:\Users\Mircea\AndroidStudioProjects\Axon\.idea\compiler.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Mircea\AndroidStudioProjects\Axon\.idea\copilot.data.migration.agent.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Mircea\AndroidStudioProjects\Axon\.idea\copilot.data.migration.ask.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Mircea\AndroidStudioProjects\Axon\.idea\copilot.data.migration.ask2agent.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Mircea\AndroidStudioProjects\Axon\.idea\copilot.data.migration.edit.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Mircea\AndroidStudioProjects\Axon\.idea\deploymentTargetSelector.xml", "XML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Users\Mircea\AndroidStudioProjects\Axon\.idea\deviceManager.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\Mircea\AndroidStudioProjects\Axon\.idea\dictionaries\project.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Mircea\AndroidStudioProjects\Axon\.idea\gradle.xml", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 19
